,Name,NameAr,LocalizedName,BusinessType,OtherTypeName,IsPopularBusiness,TotalReviews,Rating,Id,ActiveStatus,OwnerAllowStatus,CertificationStatus
2521,inn store,اي ان ان ستور ,اي ان ان ستور ,إلكترونيات,فيبوكس و حزم,False,41,5.0,308190,0,1,2
2522,Gifiology,جيفتو لوجي,جيفتو لوجي,حفلات,,False,41,5.0,48619,0,1,2
2523,languages world,عالم اللغات,عالم اللغات,التعليم,,False,41,5.0,29890,0,1,1
2524,HM9 store,متجر اتش ام تسعة,متجر اتش ام تسعة,خدمات الأعمال,,False,40,5.0,172960,0,1,2
2525,panda makkah 1,باندا مكه 1,باندا مكه 1,خدمات الأعمال,,False,40,5.0,90138,0,1,1
2526,Glanz,جلانز,جلانز,الجمال والصحة,,False,40,5.0,5376,0,1,1
2527,Passion and Story,شغف وحكاية ,شغف وحكاية ,خدمات الأعمال,,False,37,5.0,20426,0,1,1
2528,xwarshop,متجر إكسوار,متجر إكسوار,خدمات الأعمال,,False,36,5.0,226876,0,1,2
2529,Bushra Personal shopper,بشرى متسوقه شخصية,بشرى متسوقه شخصية,خدمات الأعمال,,False,36,5.0,176451,0,1,2
2530,smartspos,متجر نقاط البيع الذكية,متجر نقاط البيع الذكية,إلكترونيات,,False,36,5.0,11986,0,1,1
2531,Charme salwamoglan,شارمي سلوى مقلان ,شارمي سلوى مقلان ,أطعمة ومشروبات,,False,34,5.0,118027,0,1,2
2532,Original Sources company ,شركة المصادر الاصلية للتجارة ,شركة المصادر الاصلية للتجارة ,العقارات,,False,34,5.0,108790,0,1,1
2533,aussieshop,اوزي شوب 2,اوزي شوب 2,خدمات الأعمال,,False,33,5.0,133060,0,1,2
2534,First Click,النقرة الأولى,النقرة الأولى,إلكترونيات,,False,33,5.0,94807,0,1,1
2535,Wasseta abooda,وسيطة عبودة,وسيطة عبودة,خدمات الأعمال,,False,33,5.0,25887,0,1,2
2536,anamlmobdiah,أنامل مبدعة هيفاء,أنامل مبدعة هيفاء,هدايا,,False,32,5.0,258682,0,1,2
2537,Taste fo dates,لذة التمر,لذة التمر,أطعمة ومشروبات,,False,32,5.0,233763,0,1,2
2538,HESSA DOLLS,صانعة للدمى و البهجة ,صانعة للدمى و البهجة ,هدايا,,False,32,5.0,169670,0,1,2
2539,Link4  Loot,لينك فور لووت,لينك فور لووت,خدمات الأعمال,,False,32,5.0,132545,0,1,1
2540,MenEla,من إلى,من إلى,خدمات الأعمال,,False,31,5.0,131087,0,1,1
2541,Alghdag,الغدق,الغدق,خدمات الأعمال,,False,31,5.0,90738,0,1,2
2542,Rahma online,رحمه وسيطة مواقع,رحمه وسيطة مواقع,الجمال والصحة,,False,31,5.0,45955,0,1,2
2543,Digital Record,ديجيتال ريكورد,ديجيتال ريكورد,خدمات الأعمال,,False,31,5.0,30069,0,1,2
2544,Tyar Stor,طيار ستور,طيار ستور,خدمات الأعمال,,False,30,5.0,274989,0,1,1
2545,The Joy Box,سلة الفرح,سلة الفرح,خدمات الأعمال,,False,30,5.0,196329,0,1,2
2546,US TAX GLOBAL SERVICE LLC,خدمات الضرائب الأمريكية في السعودية,خدمات الضرائب الأمريكية في السعودية,خدمات الأعمال,,False,30,5.0,42755,0,1,1
2547,Data2023,متجر داتا,متجر داتا,خدمات الأعمال,,False,29,5.0,308506,0,1,2
2548,asma infographic,اسماء انفوجرافيك,اسماء انفوجرافيك,خدمات الأعمال,,False,29,5.0,93768,0,1,2
2549,MIRAAT OPTICAL,مرآة للبصريات,مرآة للبصريات,الجمال والصحة,,False,29,5.0,78719,0,1,1
2550,Markaonline,ماركه اونلاين ,ماركه اونلاين ,خدمات الأعمال,,False,29,5.0,41414,0,1,2
2551,FOR LADIES, فور ليدز, فور ليدز,الجمال والصحة,,False,28,5.0,344570,0,1,1
2552,mstoreksa,م ستور,م ستور,خدمات الأعمال,,False,28,5.0,246847,0,1,2
2553,Bana Shopping,بـانـا للـتســوق,بـانـا للـتســوق,خدمات الأعمال,,False,28,5.0,79048,0,1,1
2554,Phone Solution,حلول الهاتف,حلول الهاتف,إلكترونيات,,False,27,5.0,285629,0,1,2
2555,Eimey Style,ايمي ستايل,ايمي ستايل,الجمال والصحة,,False,27,5.0,184351,0,1,2
2556,Ahmed's Wood Design,أحمد للتصاميم الخشبية,أحمد للتصاميم الخشبية,المنزل,,False,27,5.0,149776,0,1,2
2557,,أسعد أباحسين لخدمات الدراسة في الخارج,أسعد أباحسين لخدمات الدراسة في الخارج,التعليم,,False,27,5.0,132751,0,1,2
2558,Lily shopping,ليلي شوبينق,ليلي شوبينق,الجمال والصحة,,False,27,5.0,132435,0,1,2
2559,Brilliant ksa,بريلينت السعودية,بريلينت السعودية,خدمات الأعمال,,False,27,5.0,96352,0,1,2
2560,roza spa ,روزا سبا,روزا سبا,الجمال والصحة,,False,27,5.0,42461,0,1,1
2561,Pink Shopping SA,بينك شوبينق,بينك شوبينق,ازياء,,False,26,5.0,162612,0,1,2
